selfies,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre
[C][C][Branch1][C][C][=C][C][C][C][Branch1][C][C][=C][C][=O],citral,-2.579,1,152.237,0,0,4,17.07,-2.06
[C][C][C][C][=C],1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68
[C][C][C][C][C][C][C][C][C][C][C][C][C][C],Tetradecane,-5.45,1,198.39399999999995,0,0,11,0.0,-7.96
[C][C][Branch1][C][C][Cl],2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41
[C][C][C][Branch1][C][C][C][O],2-Methylbutanol,-1.027,1,88.14999999999999,1,0,2,20.23,-0.47
[C][C][C][C][C][C][C][C][C][C][Branch1][C][C][O],2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.94
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][C][C],Phorate,-3.747,1,260.386,0,0,8,18.46,-4.11
[C][C][C][C][C][C][C][O],1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.81
[C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C],Methyl octanoate,-2.608,1,158.241,0,0,6,26.3,-3.17
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][C][Branch1][C][C][Branch1][C][C][C],Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755
[Cl][C][=Branch1][C][=C][Cl],"1,1-Dichloroethylene",-1.939,1,96.944,0,0,0,0.0,-1.64
[C][C][C][C][C][=O],Valeraldehyde,-1.103,1,86.13399999999999,0,0,3,17.07,-0.85
[C][C][C][C][C][C][C][I],1-Iodoheptane,-3.904,1,226.101,0,0,5,0.0,-4.81
[O][C][C][C][C][=C],4-Pentene-1-ol,-0.7909999999999999,1,86.134,1,0,3,20.23,-0.15
[C][C][Branch1][C][C][O][C][=O],Isopropyl formate,-0.684,1,88.106,0,0,2,26.3,-0.63
[C][C][C][C][C][C][Branch1][C][C][O],2-Heptanol ,-1.6780000000000002,1,116.20399999999998,1,0,4,20.23,-1.55
[C][C][C][C][C][C][C][#C],1-Octyne ,-2.509,1,110.2,0,0,4,0.0,-3.66
[C][C][Branch1][C][C][C][C][C][Branch1][C][C][Branch1][C][C][C],"2,2,5-Trimethylhexane",-3.631,1,128.259,0,0,2,0.0,-5.05
[C][C][C][C][=Branch1][C][=O][C],2-Pentanone,-0.846,1,86.13399999999999,0,0,2,17.07,-0.19
[C][C][C][O][C][=Branch1][C][=O][C][C],Methyl butyrate,-1.545,1,116.15999999999998,0,0,3,26.3,-0.82
[C][C][C][Branch1][C][Br][Branch1][Ring1][C][C][C][=Branch1][C][=O][N][C][Branch1][C][N][=O],Carbromal,-2.198,1,237.097,2,0,3,72.19,-2.68
[C][C][C][C][C][=Branch1][C][=O][O][C][C],Pentyl propanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-2.25
[C][C][Branch1][C][C][C][C][O][C][=Branch1][C][=O][C],Isopentyl acetate,-1.817,1,130.18699999999998,0,0,3,26.3,-1.92
[C][C][C][Br],1-Bromopropane,-1.949,1,122.993,0,0,1,0.0,-1.73
[C][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][S][C][C][=Branch1][C][=O][N][Branch1][C][C][C][=O],Formothion,-2.087,1,257.273,0,0,6,55.84,-1.995
[N][C][=Branch1][C][=S][N],Thiourea,0.3289999999999999,1,76.12400000000001,2,0,0,52.04,0.32
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C][Branch1][C][Cl][Branch1][C][Cl][Cl],Hexachloroethane,-4.215,1,236.74,0,0,0,0.0,-3.67
[C][C][C][O][C][Branch1][C][C][C],Propylisopropylether,-1.354,1,102.17699999999998,0,0,3,9.23,-1.34
[Cl][C][Cl],Dichloromethane,-1.156,1,84.93299999999999,0,0,0,0.0,-0.63
[C][O][C][=O],Methyl formate,-0.048,1,60.05200000000001,0,0,1,26.3,0.58
[C][C][Branch1][C][C][C],2-Methylpropane,-1.891,1,58.124,0,0,0,0.0,-2.55
[C][C][C][C][C],Pentane,-2.261,1,72.151,0,0,2,0.0,-3.18
[C][C][C][C][=Branch1][C][=C][C],2-Methyl-1-Pentene,-2.3480000000000003,1,84.16199999999999,0,0,2,0.0,-3.03
[C][C][Branch1][C][C][C][Branch1][C][C][C][Branch1][C][C][C],"2,3,4-Trimethylpentane",-3.276,1,114.232,0,0,2,0.0,-4.8
[C][C][C][C][C][C][C][C][C][=C],1-Decene,-3.781,1,140.26999999999998,0,0,7,0.0,-5.51
[C][C][=Branch1][C][=O][O][C][C][Branch1][Branch2][C][O][C][=Branch1][C][=O][C][O][C][=Branch1][C][=O][C],Glyceryl triacetate,-1.285,1,218.205,0,0,5,78.9,-0.6
[C][C][C][C][C][C][C][Br],1-Bromoheptane,-3.366,1,179.101,0,0,5,0.0,-4.43
[C][C][O][C][=Branch1][C][=O][C][C][=Branch1][C][=O][O][C][C],Malonic acid diethylester,-1.413,1,160.16899999999998,0,0,4,52.60000000000001,-0.82
[C][C][/C][=C][/C],trans-2-Pentene ,-2.076,1,70.135,0,0,1,0.0,-2.54
[Cl][C][=C][Branch1][C][Cl][Cl],Trichloroethylene,-2.312,1,131.389,0,0,0,0.0,-1.96
[C][O],Methanol,0.441,1,32.042,1,0,0,20.23,1.57
[C][C][C][=Branch1][C][=O][C],2-Butanone,-0.491,1,72.107,0,0,1,17.07,0.52
[C][C][C][C][C][C][O],1-Hexanol,-1.3969999999999998,1,102.177,1,0,4,20.23,-1.24
[C][C][C][C][C][Cl],1-Chloropentane,-2.294,1,106.596,0,0,3,0.0,-2.73
[C][=C][C][=C],"1,3-Butadiene",-1.376,1,54.09199999999999,0,0,1,0.0,-1.87
[C][C][C][O][C][=Branch1][C][=O][C],Propyl acetate,-1.125,1,102.13299999999998,0,0,2,26.3,-0.72
[C][C][C][C][C][C][=O],Caproaldehyde,-1.457,1,100.161,0,0,4,17.07,-1.3
[C][C][Branch1][C][C][=C][C][C][/C][Branch1][C][C][=C][\C][O],Nerol,-2.603,1,154.253,1,0,4,20.23,-2.46
[C][I],Iodomethane,-1.646,1,141.939,0,0,0,0.0,-1.0
[C][C][C][C][C][=Branch1][C][=O][C][C][C][C],5-Nonanone,-2.329,1,142.242,0,0,6,17.07,-2.58
[C][C][C][Branch1][C][C][C][C],3-Methylpentane,-2.6,1,86.178,0,0,2,0.0,-3.68
[Cl][C][C][#N],Chloroacetonitrile,-0.4479999999999999,1,75.498,0,0,0,23.79,-0.092
[C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C],Ethyl nonanoate,-3.3160000000000003,1,186.295,0,0,8,26.3,-3.8
[C][C][C][Branch1][C][C][Cl],2-Chlorobutane,-1.94,1,92.569,0,0,1,0.0,-1.96
[C][C][C][C][C][#C],1-Hexyne ,-1.801,1,82.14599999999999,0,0,2,0.0,-2.36
[C][C][C][C][C][C][C][C][#C],1-Nonyne ,-2.864,1,124.227,0,0,5,0.0,-4.24
[C][C][Branch1][C][C][O][C][Branch1][C][C][C],Diisopropyl ether ,-1.281,1,102.177,0,0,2,9.23,-1.1
[C][N][N],Methyl hydrazine,0.5429999999999999,1,46.073,2,0,0,38.05,1.34
[C][C][#C],Propyne,-0.672,1,40.065000000000005,0,0,0,0.0,-0.41
[C][C][N][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][=Branch1][N][=C][C][=Branch1][C][=O][O][C][Branch1][C][C][C][C],Propetamphos,-2.826,1,281.314,1,0,7,56.790000000000006,-3.408
[C][=C][C][=O],Acrolein,-0.184,1,56.064,0,0,1,17.07,0.57
[C][C][C][Cl],1-Chloropropane,-1.585,1,78.542,0,0,1,0.0,-1.47
[C][C][O][C][=Branch1][C][=O][C],Ethyl acetate,-0.77,1,88.106,0,0,1,26.3,-0.04
[C][C][C][C][Branch1][C][C][Branch1][C][C][C],"2,2-Dimethylpentane",-2.938,1,100.20499999999998,0,0,1,0.0,-4.36
[C][C][C][C][O][C][=Branch1][C][=O][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C][C][C],dibutyl sebacate,-4.726,1,314.46600000000007,0,0,15,52.60000000000001,-3.896
[C][C][=Branch1][C][=C][C][=C],"2-Methyl-1,3-Butadiene ",-1.714,1,68.11900000000001,0,0,1,0.0,-2.03
[C][C][Branch1][C][C][=C][C][C][C][Branch1][C][O][Branch1][C][C][C][=C],linalool,-2.399,1,154.253,1,0,4,20.23,-1.99
[C][C][C][C][=Branch1][C][=O][C][C][C],4-Heptanone,-1.62,1,114.188,0,0,4,17.07,-1.3
[C][C][=Branch1][C][=O][C][Branch1][C][C][Branch1][C][C][C],"3,3-Dimethyl-2-butanone",-1.25,1,100.161,0,0,0,17.07,-0.72
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][C][#N],Trichloroacetonitrile,-2.019,1,144.388,0,0,0,23.79,-2.168
[C][C][C][C][C][C][C][C][C][=Branch1][C][=O][C],2-Decanone,-2.617,1,156.269,0,0,7,17.07,-3.3
[C][S][C],Dimethyl sulfide,-0.758,1,62.137,0,0,0,0.0,-0.45
[C][C][O][C][=Branch1][C][=O][N],O-Ethyl carbamate,-0.218,1,89.09400000000001,1,0,1,52.32,0.85
[C][C][Branch1][C][C][C][Branch1][C][O][C][Branch1][C][C][C],"2,4-Dimethyl-3-pentanol",-1.6469999999999998,1,116.20399999999998,1,0,2,20.23,-1.22
[C][C][C][C][Br],1-Bromobutane,-2.303,1,137.01999999999998,0,0,2,0.0,-2.37
[C][C][Branch1][C][C][C][C][=Branch1][C][=O][C],4-Methyl-2-pentanone,-1.1840000000000002,1,100.161,0,0,2,17.07,-0.74
[O][C][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][Branch1][C][O][C][O],Sorbitol,0.647,1,182.172,6,0,5,121.38,1.09
[C][C][S],Ethanethiol,-0.968,1,62.137,1,0,0,0.0,-0.6
[Cl][C][C][Branch1][C][Cl][Cl],"1,1,2-Trichloroethane",-1.961,1,133.405,0,0,1,0.0,-1.48
[C][C][C][C][C][C][C][Cl],1-Chloroheptane,-3.003,1,134.65,0,0,5,0.0,-4.0
[Cl][C][Branch1][C][Cl][C][Branch1][C][Cl][Cl],"1,1,2,2-Tetrachloroethane",-2.549,1,167.85,0,0,1,0.0,-1.74
[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][C][=Branch1][=C][=C][C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C][Cl],Dimecron,-2.426,1,299.6909999999999,0,0,8,65.07000000000001,0.523
[C][C][C][C][C][C][Cl],1-Chlorohexane,-2.648,1,120.623,0,0,4,0.0,-3.12
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C],hexacosane,-9.702,1,366.7180000000002,0,0,23,0.0,-8.334
[C][C][Branch1][C][Cl][Cl],"1,1-Dichloroethane",-1.5759999999999998,1,98.96,0,0,0,0.0,-1.29
[Cl][C][Branch1][C][Cl][Branch1][C][Cl][Cl],Tetrachloromethane,-2.607,1,153.823,0,0,0,0.0,-2.31
[C][O][C][Branch1][C][C][Branch1][C][C][C],Methyl t-butyl ether ,-0.984,1,88.14999999999999,0,0,0,9.23,-0.24
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O],1-Hexadecanol,-4.94,1,242.44699999999992,1,0,14,20.23,-7.0
[C][C][C][Branch1][C][C][Branch1][C][C][C][O],"2,2-Dimethyl-1-butanol",-1.365,1,102.17699999999998,1,0,2,20.23,-1.04
[C][C][C][O][C][=Branch1][C][=O][C][C][C],Ethyl pentanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-1.75
[C][C][C][O][C][=O],Propyl formate,-0.757,1,88.10599999999998,0,0,3,26.3,-0.49
[C][C][Branch1][C][C][C][C][Branch1][C][C][C],"2,4-Dimethylpentane",-2.938,1,100.20499999999998,0,0,2,0.0,-4.26
[C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C],Ethyl decanoate,-3.671,1,200.322,0,0,9,26.3,-4.1
[C][C][C][O][C][C],Ethyl propyl ether,-1.072,1,88.14999999999999,0,0,3,9.23,-0.66
[C][C][Branch1][C][C][O],2-Propanol,-0.261,1,60.096,1,0,0,20.23,0.43
[Cl][C][Branch1][C][Br][Br],Chlorodibromethane,-2.54,1,208.28,0,0,0,0.0,-1.9
[C][C][O][C][=Branch1][C][=O][C][C][Branch1][N][S][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][C][=Branch1][C][=O][O][C][C],Malathion,-3.391,1,330.3640000000001,0,0,9,71.06,-3.37
[C][/C][=C][/C][=O],t-Crotonaldehyde,-0.604,1,70.09100000000001,0,0,1,17.07,0.32
[C][C][C][C][C][C][=Branch1][C][=O][O][C],Methyl hexanoate,-1.899,1,130.18699999999998,0,0,4,26.3,-1.87
[C][C][C][=Branch1][C][=O][O][C],Methyl propionate,-0.836,1,88.106,0,0,1,26.3,-0.14
[C][C][C][C][=Branch1][C][=O][O][C],Propyl butyrate,-1.1909999999999998,1,102.13299999999998,0,0,2,26.3,-1.92
[C][C][C][C][C][C][=Branch1][C][=O][O][C][C],Ethyl hexanoate,-2.254,1,144.21399999999997,0,0,5,26.3,-2.35
[C][C][C][C][C][C][C][=C],1-Octene ,-3.073,1,112.216,0,0,5,0.0,-4.44
[C][C][C][C][Branch1][C][O][C][C],3-Hexanol,-1.324,1,102.177,1,0,3,20.23,-0.8
[C][C][C][C][C][C][C][C][Branch1][C][C][O],2-Nonanol,-2.387,1,144.258,1,0,6,20.23,-2.74
[C][C][C][C][=Branch1][C][=O][C][C],3-Hexanone,-1.266,1,100.161,0,0,3,17.07,-0.83
[Cl][C][Br],Bromochloromethane,-1.519,1,129.384,0,0,0,0.0,-0.89
[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=S][S][S][C][=Branch1][C][=S][N][Branch1][Ring1][C][C][C][C],Disulfiram,-3.862,1,296.5520000000001,0,0,4,6.48,-4.86
[C][C][C][C][C][C][C][C][O],1-Octanol,-2.105,1,130.23100000000002,1,0,6,20.23,-2.39
[C][C][S][C][C],Diethyl sulfide,-1.598,1,90.191,0,0,2,0.0,-1.34
[Cl][C][C][Cl],"1,2-Dichloroethane",-1.374,1,98.96,0,0,1,0.0,-1.06
[C][C][C][Branch1][C][C][Branch1][C][C][Cl],2-Chloro-2-methylbutane,-2.278,1,106.596,0,0,1,0.0,-2.51
[Cl][C][C][Br],1-Chloro-2-bromoethane,-1.7380000000000002,1,143.411,0,0,1,0.0,-1.32
[C][C][C][C][C][C][C][C][=C],1-Nonene ,-3.427,1,126.243,0,0,6,0.0,-5.05
[C][C][C][Branch1][C][C][Branch1][C][O][C][C],3-Methyl-3-pentanol,-1.308,1,102.17699999999998,1,0,2,20.23,-0.36
[C][C][C][C][C][Branch1][C][C][O],2-Hexanol,-1.324,1,102.17699999999998,1,0,3,20.23,-0.89
[C][C][C][C][C][O],1-Pentanol,-1.042,1,88.14999999999999,1,0,3,20.23,-0.6
[C][C][Branch1][C][C][C][Branch1][C][C][O],3-Methyl-2-butanol,-0.954,1,88.14999999999999,1,0,1,20.23,-0.18
[C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C],Methyl decanoate,-3.3160000000000003,1,186.295,0,0,8,26.3,-4.69
[C][C][Branch1][C][C][C][Br],1-Bromo-2-methylpropane,-2.2880000000000003,1,137.01999999999998,0,0,1,0.0,-2.43
[C][C][I],Iodoethane,-2.066,1,155.966,0,0,0,0.0,-1.6
[C][C][C][C][C][C][Br],1-Bromohexane,-3.012,1,165.074,0,0,4,0.0,-3.81
[C][C][C][C][Branch1][C][C][C],2-Methylpentane,-2.6,1,86.178,0,0,2,0.0,-3.74
[Br][C][Branch1][C][Br][Br],Tribromomethane,-2.904,1,252.731,0,0,0,0.0,-1.91
[C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][C][Branch1][C][O][C][Branch1][C][Cl][Branch1][C][Cl][Cl],Trichlorfon,-1.866,1,257.437,1,0,3,55.760000000000005,-0.22
[C][C][Branch1][C][C][Br],2-Bromopropane,-1.949,1,122.993,0,0,0,0.0,-1.59
[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C],"2,2,4-Trimethylpentane",-3.276,1,114.232,0,0,1,0.0,-4.74
[C][C][C],Propane,-1.5530000000000002,1,44.097,0,0,0,0.0,-1.94
[C][C][O][C][=C],Ethyl vinyl ether,-0.857,1,72.10700000000001,0,0,2,9.23,-0.85
[C][C][C][#C],1-Butyne,-1.092,1,54.09199999999999,0,0,0,0.0,-1.24
[C][C][C][C][C][Branch1][C][C][Branch1][C][O][C][C],3-Methyl-3-heptanol,-2.017,1,130.23099999999997,1,0,4,20.23,-1.6
[C][C][#N],Acetonitrile,0.152,1,41.053,0,0,0,23.79,0.26
[Cl][C][C][Branch1][C][Cl][Branch1][C][Cl][Cl],"1,1,1,2-Tetrachloroethane",-2.794,1,167.85,0,0,0,0.0,-2.18
[C][C][C][C][O],1-Butanol,-0.688,1,74.12299999999999,1,0,2,20.23,0.0
[C][C][Branch1][C][C][C][C][O],3-Methylbutan-1-ol,-1.027,1,88.14999999999999,1,0,2,20.23,-0.51
[C][C][=Branch1][C][=C][C],2-Methylpropene,-1.5730000000000002,1,56.108,0,0,0,0.0,-2.33
[C][C][=Branch1][C][=C][C][=Branch1][C][=C][C],"2,3-Dimethyl-1,3-Butadiene",-2.052,1,82.146,0,0,1,0.0,-2.4
[C][C][C][I],1-Iodopropane,-2.486,1,169.993,0,0,1,0.0,-2.29
[C][C][C][O],1-Propanol,-0.3339999999999999,1,60.096,1,0,1,20.23,0.62
[C][C][C][C][Branch1][C][C][O],2-Pentanol,-0.97,1,88.14999999999999,1,0,2,20.23,-0.29
[Cl][C][=Branch1][=C][=C][Branch1][C][Cl][C][=Branch1][=Branch1][=C][Branch1][C][Cl][Cl][Cl][Cl],"Hexachloro-1,3-butadiene",-4.546,1,260.762,0,0,1,0.0,-4.92
[C][C][C][Branch1][C][C][C][C][O],3-Methyl-2-pentanol,-1.308,1,102.177,1,0,3,20.23,-0.71
[C][C][C][C][I],1-Iodobutane,-2.841,1,184.02,0,0,2,0.0,-2.96
[C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C],Ethyl octanoate,-2.962,1,172.26799999999997,0,0,7,26.3,-3.39
[C][C][S][S][C][C],Diethyldisulfide,-2.364,1,122.258,0,0,3,0.0,-2.42
[C][C][O][C][C][O][C][C],"1,2-Diethoxyethane ",-0.833,1,118.176,0,0,5,18.46,-0.77
[C][C][C][C][C][C][=C],1-Heptene,-2.718,1,98.189,0,0,4,0.0,-3.73
[C][C][C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=O][S][C][C][C],Pebulate,-3.131,1,203.351,0,0,6,20.31,-3.53
[C][C][C][C][O][C][=O],Butyl acetate,-1.111,1,102.13299999999998,0,0,4,26.3,-1.37
[Br][C][Branch1][C][Cl][Cl],Bromodichloromethane,-2.176,1,163.82899999999998,0,0,0,0.0,-1.54
[C][Br],Bromomethane,-1.109,1,94.939,0,0,0,0.0,-0.79
[C][C][Branch1][C][C][C][=C],3-Methyl-1-Butene,-1.994,1,70.135,0,0,1,0.0,-2.73
[C][C],Ethane,-1.132,1,30.07,0,0,0,0.0,-1.36
[C][C][=Branch1][C][=O][N],Acetamide,0.494,1,59.068,1,0,0,43.09,1.58
[C][C][Branch1][C][O][C][Branch1][C][C][Branch1][C][C][C],"3,3-Dimethyl-2-butanol",-1.2919999999999998,1,102.177,1,0,0,20.23,-0.62
[C][C][C][C][=Branch1][C][=O][O][C][C],Methyl pentanoate,-1.545,1,116.15999999999998,0,0,3,26.3,-1.36
[C][C][C][C][C][C][C][C][C][O],1-Nonanol,-2.46,1,144.258,1,0,7,20.23,-3.01
[Br][C][Br],Dibromomethane,-1.883,1,173.83499999999998,0,0,0,0.0,-1.17
[C][C][S][C][=Branch1][C][=O][N][Branch1][#Branch1][C][C][Branch1][C][C][C][C][C][Branch1][C][C][C],Butylate,-3.4530000000000003,1,217.378,0,0,5,20.31,-3.68
[C][C][C][C][Cl],1-Chlorobutane,-1.94,1,92.569,0,0,2,0.0,-2.03
[C][C][N][C][=Branch1][C][=S][N][C][C],"1,3-diethylthiourea",-1.028,1,132.232,2,0,2,24.06,-1.46
[C][C][C][C][C][=Branch1][C][=O][O][C],Propyl propanoate,-1.545,1,116.15999999999998,0,0,3,26.3,-1.34
[C][C][C][C][C][O][C][=Branch1][C][=O][C][C],Ethyl butyrate,-2.254,1,144.21399999999997,0,0,5,26.3,-1.28
[C][C][Br],Bromoethane,-1.529,1,108.966,0,0,0,0.0,-1.09
[C][C][C][#C][C][C],3-Hexyne,-1.933,1,82.14599999999999,0,0,0,0.0,-1.99
[C][C][C][=Branch1][C][=C][C],2-Methyl-1-Butene,-1.994,1,70.13499999999999,0,0,1,0.0,-2.73
[C][C][O][C][Branch1][C][C][O][C][C],"1,1-Diethoxyethane ",-0.899,1,118.176,0,0,4,18.46,-0.43
[C][C][C][C][O][C][C][O],2-Butoxyethanol,-0.775,1,118.176,1,0,5,29.46,-0.42
[Cl][C][C][C][Cl],"1,3-Dichloropropane",-1.618,1,112.987,0,0,2,0.0,-1.62
[C][C][Branch1][C][C][C][Branch1][C][C][C],"2,3-Dimethylbutane",-2.584,1,86.178,0,0,1,0.0,-3.65
[C][C][C][=C],1-Butene,-1.655,1,56.108,0,0,1,0.0,-1.94
[F][C][Branch1][C][F][Branch1][C][Cl][C][Branch1][C][F][Branch1][C][Cl][Cl],"1,1,2-Trichlorotrifluoroethane",-3.077,1,187.37500000000003,0,0,1,0.0,-3.04
[C][C][C][#N],Propionitrile,-0.2689999999999999,1,55.07999999999999,0,0,0,23.79,0.28
[O][C][C][Branch1][C][O][C][O],Glycerol,0.688,1,92.094,3,0,2,60.69,1.12
[C][C][C][C][O][C],Methyl butyl ether ,-1.072,1,88.14999999999999,0,0,3,9.23,-0.99
[C][N][Branch1][C][C][C][=Branch1][C][=O][C],"N,N-Dimethylacetamide",0.123,1,87.12199999999999,0,0,0,20.31,1.11
[C][=C],Ethylene,-0.815,1,28.053999999999995,0,0,0,0.0,-0.4
[C][C][Branch1][C][C][Branch1][C][C][C][C][O],"3,3-Dimethyl-1-butanol",-1.365,1,102.177,1,0,1,20.23,-0.5
[C][C][Branch1][C][C][S][C][Branch1][C][C][C],Diisopropylsulfide,-2.162,1,118.245,0,0,2,0.0,-2.24
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][C],Ethion,-5.471,1,384.4870000000002,0,0,12,36.92,-5.54
[C][C][C][C][Branch1][C][C][Branch1][C][C][C][O],"2,2-Dimethylpentanol",-1.719,1,116.20399999999998,1,0,3,20.23,-1.52
[C][C][C][O][C],Methyl propyl ether ,-0.718,1,74.12299999999999,0,0,2,9.23,-0.39
[C][C][Branch1][C][C][O][C][=Branch1][C][=O][C],Isopropyl acetate,-1.1909999999999998,1,102.133,0,0,1,26.3,-0.55
[Cl][C][=C],Chloroethylene,-1.188,1,62.499,0,0,0,0.0,-1.75
[Br][C][Branch1][C][Br][Branch1][C][Br][Br],Tetrabromomethane,-4.063,1,331.62699999999995,0,0,0,0.0,-3.14
[C][C][C][C][C][C][C][C][C],Nonane,-3.678,1,128.259,0,0,6,0.0,-5.88
[C][C][C][C][C][C][Branch1][C][C][C],2-Methylheptane,-3.3080000000000003,1,114.232,0,0,4,0.0,-5.08
[C][C][C][Branch1][C][O][C][Branch1][C][C][C],2-Methyl-3-pentanol,-1.308,1,102.177,1,0,2,20.23,-0.7
[C][C][C][C][C][C][C],Heptane,-2.97,1,100.205,0,0,4,0.0,-4.53
[C][C][C][C][C][C][=Branch1][C][=O][C],2-Heptanone,-1.554,1,114.188,0,0,4,17.07,-1.45
[C][C][C][C][S][P][=Branch1][C][=O][Branch1][=Branch1][S][C][C][C][C][S][C][C][C][C],DEF,-4.074,1,314.5220000000001,0,0,12,17.07,-5.14
[C][C][=C][Branch1][C][C][C],2-Methy-2-Butene,-1.994,1,70.13499999999999,0,0,0,0.0,-2.56
[C][C][C][C][Branch1][C][C][Branch1][C][O][C][C],3-Methyl-3-hexanol,-1.663,1,116.20399999999998,1,0,3,20.23,-0.98
[C][C][C][C][C][C][C][C],Octane,-3.324,1,114.232,0,0,5,0.0,-5.24
[C][C][C][=O],Propionaldehyde,-0.3939999999999999,1,58.08,0,0,1,17.07,0.58
[Cl][C][Branch1][C][Cl][Cl],Trichloromethane,-1.812,1,119.378,0,0,0,0.0,-1.17
[C][C][C][C][C][Branch1][Ring1][C][C][C][=O],2-Ethylhexanal,-2.232,1,128.21499999999995,0,0,5,17.07,-2.13
[C][C][C][Branch1][Ring1][C][C][C][=O],2-Ethylbutanal,-1.523,1,100.161,0,0,3,17.07,-1.52
[C][C][C][O][C][C][C],Dipropyl ether,-1.426,1,102.177,0,0,4,9.23,-1.62
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][O],1-Tetradecanol,-4.231,1,214.393,1,0,12,20.23,-5.84
[N][C][=Branch1][C][=O][N],Urea,0.8320000000000001,1,60.056,2,0,0,69.11,0.96
