selfies,Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre
[C][C][C][C][#C],1-Pentyne,-1.446,1,68.11899999999999,0,0,1,0.0,-1.64
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O],1-Octadecanol,-5.649,1,270.50099999999986,1,0,16,20.23,-8.4
[C][C][Branch1][C][C][C][C][O][C][=O],Isopentyl formate,-1.449,1,116.15999999999998,0,0,4,26.3,-1.52
[C][C][O][P][=Branch1][C][=O][Branch1][Ring2][O][C][C][O][C][C],Triethyl phosphate,-0.953,1,182.156,0,0,6,44.760000000000005,0.43
[O][C][C][Branch1][C][O][C][Branch1][C][O][C][O],Erythritol,0.675,1,122.12,4,0,3,80.92,0.7
[C][N][C][=Branch1][C][=O][C][=C][Branch1][C][C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C],Azodrin,-0.949,1,223.165,1,0,5,73.86,0.6509999999999999
[C][C][C][Branch1][C][C][C][Branch1][C][C][C],"2,3-Dimethylpentane",-2.938,1,100.20499999999998,0,0,2,0.0,-4.28
[C][C][C][C][C][C][#C],1-Heptyne,-2.155,1,96.173,0,0,3,0.0,-3.01
[Cl][C][C][Branch1][C][C][C],1-Chloro-2-methylpropane,-1.924,1,92.569,0,0,1,0.0,-2.0
[C][C][C][C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C],methyl laurate,-4.025,1,214.349,0,0,10,26.3,-4.69
[C][C][C][S][C][C][C],Di-n-propylsulfide,-2.307,1,118.245,0,0,4,0.0,-2.58
[C][C][C][C][C][Br],1-Bromopentane,-2.658,1,151.047,0,0,3,0.0,-3.08
[C][C][C][C][/C][=C][/C],trans-2-Heptene ,-2.784,1,98.18899999999998,0,0,3,0.0,-3.82
[C][C][Branch1][C][Cl][Branch1][C][Cl][Cl],"1,1,1-Trichloroethane",-2.232,1,133.405,0,0,0,0.0,-2.0
[C][C][O][C][C],Diethyl ether ,-0.718,1,74.123,0,0,2,9.23,-0.09
[C][O][C][O][C],Dimethoxymethane,0.092,1,76.095,0,0,2,18.46,0.48
[C][C][C][Branch1][C][C][O],Butan-2-ol,-0.616,1,74.12299999999999,1,0,1,20.23,0.47
[C][=C][C][S][=Branch1][C][=O][S][C][C][=C],allicin,-2.045,1,162.27899999999997,0,0,5,17.07,-0.83
[C][C][Branch1][C][C][C][O][C][=O],Isobutyl formate,-1.095,1,102.13299999999998,0,0,3,26.3,-1.01
[C][C][C][C][C][C],Hexane ,-2.615,1,86.178,0,0,3,0.0,-3.84
[C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C][Branch1][C][Br][C][Branch1][C][Cl][Branch1][C][Cl][Br],Naled,-3.548,1,380.784,0,0,5,44.760000000000005,-2.28
[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][O],"2,4-Dimethyl-2-pentanol ",-1.6469999999999998,1,116.20399999999998,1,0,2,20.23,-0.92
[C][C][C][Branch1][C][C][Branch1][C][C][C],"2,2-Dimethylbutane",-2.584,1,86.17799999999998,0,0,0,0.0,-3.55
[C][=C][C][C][=C],"1,4-Pentadiene ",-1.758,1,68.119,0,0,2,0.0,-2.09
[C][C][C][C][C][C][Branch1][C][O][C][C],3-Octanol,-2.033,1,130.23099999999997,1,0,5,20.23,-1.98
[C][C][C][C][Branch1][C][C][C][O],2-Methylpentanol,-1.381,1,102.177,1,0,3,20.23,-1.11
[C][C][C][C][C][Branch1][C][C][Branch1][C][C][O],2-Methyl-2-hexanol,-1.663,1,116.20399999999998,1,0,3,20.23,-1.08
[C][O][C][Branch1][C][C][Branch1][C][C][C][C][C][C][Branch1][C][C][C][C][=C][C][Branch1][C][C][=C][C][=Branch1][C][=O][O][C][Branch1][C][C][C],Methoprene,-4.795,1,310.47800000000007,0,0,10,35.53,-5.19
[C][C][O][C][=Branch1][C][=O][C][C],Ethyl propionate,-1.1909999999999998,1,102.133,0,0,2,26.3,-0.66
[C][C][C][C][C][C][C][=Branch1][C][=O][O][C][C],Ethyl heptanoate,-2.608,1,158.241,0,0,6,26.3,-2.74
[C][O][C][=Branch1][C][=O][C],Methyl acetate,-0.416,1,74.07900000000001,0,0,0,26.3,0.46
[C][C][C][C][Branch1][C][O][C][=C],1-Hexene-3-ol,-1.199,1,100.161,1,0,3,20.23,-0.59
[C][C][C][C][O][C][C][C][C],Dibutyl ether ,-2.135,1,130.231,0,0,6,9.23,-1.85
[C][C][C][C][C][C][C][C][C][C][C][C][O],1-Dodecanol,-3.523,1,186.339,1,0,10,20.23,-4.8
[C][C][C][C][Branch1][C][C][Branch1][C][C][O],2-Methyl-2-pentanol,-1.308,1,102.17699999999998,1,0,2,20.23,-0.49
[C][C][C][C][C][C][Branch1][C][C][Branch1][C][C][O],2-Methyl-2-heptanol,-2.017,1,130.231,1,0,4,20.23,-1.72
[C],Methane,-0.636,0,16.043,0,0,0,0.0,-0.9
[C][C][C][Branch1][C][C][C][=Branch1][C][=O][C],3-Methyl-2-pentanone,-1.266,1,100.161,0,0,2,17.07,-0.67
[C][C][Branch1][C][C][N][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][S][C][C][Branch1][C][Cl][=C][Branch1][C][Cl][Cl],Triallate,-4.578,1,304.67,0,0,4,20.31,-4.88
[C][=C][C][C][C][=C],"1,5-Hexadiene ",-2.112,1,82.14599999999999,0,0,3,0.0,-2.68
[C][C][C][C][C][=C],1-Hexene,-2.364,1,84.16199999999999,0,0,3,0.0,-3.23
[C][C][C][C][C][C][C][C][=Branch1][C][=O][C],2-Nonanone,-2.263,1,142.242,0,0,6,17.07,-2.58
[C][#C],Ethyne,-0.252,1,26.038,0,0,0,0.0,0.29
[C][C][O][C][=Branch1][C][=O][N][Branch1][C][C][C][=Branch1][C][=O][C][S][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][C],Mecarbam,-3.738,1,329.3800000000001,0,0,8,65.07000000000001,-2.518
[C][C][Branch1][C][Cl][C][Cl],"1,2-Dichloropropane",-1.794,1,112.987,0,0,1,0.0,-1.6
[C][C][C][C][=C][Branch1][Ring1][C][C][C][=O],2-Ethyl-2-hexanal,-2.081,1,126.19899999999998,0,0,4,17.07,-2.46
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][C][S][C][C],Disulfoton,-3.975,1,274.413,0,0,9,18.46,-4.23
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][O],1-Pentadecanol,-4.586,1,228.42,1,0,13,20.23,-6.35
[C][C][Branch1][C][C][I],2-Iodopropane,-2.486,1,169.993,0,0,0,0.0,-2.09
[C][C][Branch1][C][C][C][=Branch1][C][=O][C],3-Methyl-2-butanone,-0.912,1,86.13399999999999,0,0,1,17.07,-0.12
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C],Hexadecane,-6.159,1,226.44799999999992,0,0,13,0.0,-8.4
[C][C][C][C][C][C][C][=Branch1][C][=O][C],2-Octanone,-1.909,1,128.21499999999995,0,0,5,17.07,-2.05
[C][C][C][C][C][C][C][C][C][=Branch1][C][=O][O][C],Methyl nonanoate,-2.962,1,172.268,0,0,7,26.3,-3.38
[C][C][O],Ethanol,0.02,1,46.069,1,0,0,20.23,1.1
[C][C][C][C][C][C][C][C][Br],1-Bromooctane,-3.721,1,193.128,0,0,6,0.0,-5.06
[C][C][C][Branch1][C][O][C][C],3-Pentanol,-0.97,1,88.15,1,0,2,20.23,-0.24
[C][C][Branch1][C][C][C][C][C][O],4-Methylpentanol,-1.381,1,102.177,1,0,3,20.23,-1.14
[C][C][C][Branch1][C][C][Branch1][C][C][O],2-Methylbutan-2-ol,-0.954,1,88.14999999999998,1,0,1,20.23,0.15
[C][C][O][C][=O],Ethyl formate,-0.402,1,74.07900000000001,0,0,2,26.3,0.15
[C][C][C][C][S],Butanethiol ,-1.676,1,90.191,1,0,2,0.0,-2.18
[Cl][C][=Branch1][=Branch1][=C][Branch1][C][Cl][Cl][Cl],Tetrachloroethylene,-3.063,1,165.834,0,0,0,0.0,-2.54
[C][C][C][=Branch1][C][=O][C][C],3-Pentanone,-0.912,1,86.134,0,0,2,17.07,-0.28
[C][=C][C][#N],Acrylonitrile,-0.354,1,53.06399999999999,0,0,0,23.79,0.15
[C][C][C][C][C][=Branch1][C][=O][C],2-Hexanone,-1.2,1,100.161,0,0,3,17.07,-0.8
[C][C][C][C][C][Branch1][C][C][C][C],3-Methylheptane,-3.3080000000000003,1,114.232,0,0,4,0.0,-5.16
[Br][C][C][Br],"1,2-Dibromoethane",-2.102,1,187.862,0,0,1,0.0,-1.68
[C][O][C][=Branch1][C][=O][C][=C],Methyl acrylate,-0.878,1,86.09,0,0,1,26.3,-0.22
[C][C][C][Branch1][C][O][Branch1][Ring1][C][C][C][C],3-Ethyl-3-pentanol,-1.663,1,116.204,1,0,3,20.23,-0.85
[C][C][Branch1][C][C][C][=Branch1][C][=O][C][Branch1][C][C][C],"2,4-Dimethyl-3-pentanone",-1.7519999999999998,1,114.18799999999996,0,0,2,17.07,-1.3
[C][S][S][C],Dimethyldisulfide,-1.524,1,94.204,0,0,1,0.0,-1.44
[C][C][C][C][C][Branch1][C][O][C][C],3-Heptanol ,-1.6780000000000002,1,116.20399999999998,1,0,4,20.23,-1.47
[C][C][C][C][C][Branch1][Ring1][C][C][C][O],2-Ethyl-1-hexanol,-2.089,1,130.231,1,0,5,20.23,-2.11
[C][C][Branch1][C][C][N][Branch1][=Branch1][C][Branch1][C][C][C][C][=Branch1][C][=O][S][C][C][=Branch1][Ring1][=C][Cl][Cl],Diallate,-3.827,1,270.225,0,0,4,20.31,-4.2860000000000005
[C][C][C][C][C][C][C][C][C][C][O],1-Decanol,-2.814,1,158.285,1,0,8,20.23,-3.63
[C][C][C][Branch1][C][C][Branch1][C][C][C][C],"3,3-Dimethylpentane",-2.938,1,100.20499999999998,0,0,2,0.0,-4.23
[C][N][C][=Branch1][C][=O][C][Branch1][C][C][S][C][C][S][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C],vamidothion,-1.446,1,287.343,1,0,8,64.63000000000001,1.144
[C][C][C][C][=O],Butyraldehyde,-0.7490000000000001,1,72.107,0,0,2,17.07,-0.01
[C][C][C][C],Butane,-1.907,1,58.124,0,0,1,0.0,-2.57
[Cl][C][Branch1][C][Cl][C][Branch1][C][Cl][Branch1][C][Cl][Cl],Pentachloroethane,-3.382,1,202.295,0,0,0,0.0,-2.6
[C][C][Branch1][C][C][C][O],2-Methylpropan-1-ol,-0.672,1,74.12299999999999,1,0,1,20.23,0.1
[I][C][I],Diiodomethane,-2.958,1,267.835,0,0,0,0.0,-2.34
[C][C][C][C][Branch1][C][O][C][C][C],4-Heptanol,-1.6780000000000002,1,116.204,1,0,4,20.23,-1.4
[C][C][C][C][C][O][C][=Branch1][C][=O][C],Pentyl acetate,-1.833,1,130.18699999999998,0,0,4,26.3,-1.89
[F][C][Branch1][C][F][Branch1][C][Cl][C][Branch1][C][F][Branch1][C][F][Cl],"1,2-Dichlorotetrafluoroethane",-2.697,1,170.92000000000002,0,0,1,0.0,-2.74
[C][C][=C][C][=O],2-butenal,-0.604,1,70.09100000000001,0,0,1,17.07,0.32
[C][C][N][Branch1][Ring1][C][C][C][=Branch1][C][=S][S][C][C][Branch1][C][Cl][=C],Sulfallate,-3.254,1,223.794,0,0,4,3.24,-3.39
[Cl][C][C],Chloroethane,-1.165,1,64.515,0,0,0,0.0,-1.06
[C][C][/C][=C][\C],cis-2-Pentene,-2.076,1,70.135,0,0,1,0.0,-2.54
[C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C][C],Eicosane,-7.576,1,282.5559999999999,0,0,17,0.0,-8.172
[C][C][C][Branch1][Ring1][C][C][C][O],2-Ethyl-1-butanol,-1.381,1,102.177,1,0,3,20.23,-1.17
[Cl][\C][=C][/Cl],"cis 1,2-Dichloroethylene",-1.561,1,96.94400000000002,0,0,0,0.0,-1.3
[C][C][Branch1][C][C][C][C][Branch1][C][C][O],4-Methyl-2-pentanol,-1.308,1,102.17699999999998,1,0,2,20.23,-0.8
[C][C][Branch1][C][C][Branch1][C][C][C][O],"2,2-Dimethylpropanol",-1.011,1,88.14999999999999,1,0,0,20.23,-0.4
[C][C][=C],Propylene,-1.235,1,42.081,0,0,0,0.0,-1.08
[C][C][C][C][C][C][C][Branch1][C][C][O],2-Octanol,-2.033,1,130.231,1,0,5,20.23,-2.09
[C][C][Branch1][C][C][C][O][C][=Branch1][C][=O][C],Isobutyl acetate,-1.463,1,116.15999999999998,0,0,2,26.3,-1.21
[C][C][Branch1][C][C][C][Branch1][C][C][Branch1][C][C][C],"2,2,3-Trimethylbutane",-2.922,1,100.20499999999998,0,0,0,0.0,-4.36
[C][N][C][=Branch1][C][=O][O][N][=C][Branch1][Ring1][S][C][C][=Branch1][C][=O][N][Branch1][C][C][C],Oxamyl,-0.908,1,219.266,1,0,1,70.99999999999999,0.106
[C][C][S][C][C][S][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C],Thiometon,-3.323,1,246.359,0,0,7,18.46,-3.091
[C][C][C][Branch1][C][C][C],2-Methylbutane,-2.245,1,72.151,0,0,1,0.0,-3.18
[O][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl],"2,6-Dichlorophenol",-3.012,1,163.003,1,1,0,20.23,-1.79
[Br][C][=C][C][=C][C][=C][Ring1][=Branch1][Br],"1,2-Dibromobenzene",-4.172,1,235.906,0,1,0,0.0,-3.5
[O][C][=C][Branch1][C][Cl][C][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][Cl],"2,4,6-Trichlorophenol",-3.648,1,197.448,1,1,0,20.23,-2.34
[Cl][C][=C][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][Branch2],"1,3,5-Trichlorobenzene",-4.159,1,181.449,0,1,0,0.0,-4.48
[O][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],Benzaldehyde,-1.999,1,106.12399999999997,0,1,1,17.07,-1.19
[C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1][C],"3,4-Dimethylphenol",-2.6210000000000004,1,122.167,1,1,0,20.23,-1.38
[N][#C][C][=C][C][=C][C][=C][Ring1][=Branch1],Benzonitrile,-2.03,1,103.12399999999997,0,1,0,23.79,-1.0
[S][C][=C][C][=C][C][=C][Ring1][=Branch1],Thiophenol ,-2.758,1,110.18099999999995,1,1,0,0.0,-2.12
[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],Methylparaben,-2.441,1,152.149,1,1,1,46.53,-1.827
[C][C][O][C][=C][C][=C][Branch1][#Branch1][N][C][=Branch1][C][=O][C][C][=C][Ring1][#Branch2],Phenacetin,-2.342,1,179.219,1,1,3,38.33,-2.35
[C][N][C][=Branch1][C][=O][O][C][=C][C][Branch1][C][C][=C][C][Branch1][C][C][=C][Ring1][Branch2],XMC,-2.688,1,179.219,1,1,1,38.33,-2.5810000000000004
[N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],Benzamide,-1.501,1,121.13899999999995,1,1,1,43.09,-0.96
[Cl][C][=C][C][=C][C][=C][Ring1][=Branch1][Br],o-Chlorobromobenzene,-3.84,1,191.455,0,1,0,0.0,-3.19
[O][C][=C][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][Branch2],"3,5-Dichlorophenol",-3.428,1,163.003,1,1,0,20.23,-1.34
[C][C][C][=C][C][=C][Branch1][Ring1][C][C][C][=C][Ring1][Branch2],"1,4-Diethylbenzene ",-3.633,1,134.22199999999998,0,1,2,0.0,-3.75
[C][C][=C][C][=C][Branch1][C][O][C][Branch1][C][C][=C][Ring1][Branch2],"2,4-Dimethylphenol",-2.6210000000000004,1,122.167,1,1,0,20.23,-1.19
[C][C][=C][C][=C][C][=C][Ring1][=Branch1],Toluene ,-2.713,1,92.141,0,1,0,0.0,-2.21
[C][N][Branch1][C][C][C][=Branch1][C][=O][S][C][C][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],Fenothiocarb,-3.297,1,253.367,0,1,6,29.540000000000003,-3.927
[O][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][=Branch2][Cl],"2,3,4,5-Tetrachlorophenol",-4.335,1,231.893,1,1,0,20.23,-3.15
[F][C][Branch1][C][F][Branch1][C][F][C][=C][C][=C][C][=C][Ring1][=Branch1],Benzyltrifluoride,-3.099,1,146.111,0,1,0,0.0,-2.51
[C][C][C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C][C][C][C][C],Dihexyl phthalate,-5.757999999999999,1,334.45600000000024,0,1,12,52.60000000000001,-6.144
[C][C][=Branch1][C][=O][N][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1],p-Bromoacetanilide,-3.012,1,214.062,1,1,1,29.1,-3.083
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],o-Methoxyphenol,-1.941,1,124.13899999999995,1,1,1,29.46,-1.96
[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C][C],Diethyl phthalate ,-3.016,1,222.23999999999995,0,1,4,52.60000000000001,-2.35
[C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],Isobutylbenzene,-3.57,1,134.22199999999998,0,1,2,0.0,-4.12
[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][C],Dimethyl phthalate,-2.347,1,194.18599999999995,0,1,2,52.60000000000001,-1.66
[O][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][=Branch2][Cl],"2,3,5,6-Tetrachlorophenol",-4.203,1,231.893,1,1,0,20.23,-3.37
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],2-Methylphenol,-2.281,1,108.14,1,1,0,20.23,-0.62
[Cl][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][Cl],"1,2,4,5-Tetrachlorobenzene",-4.621,1,215.894,0,1,0,0.0,-5.56
[C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],Propylbenzene ,-3.281,1,120.19499999999996,0,1,2,0.0,-3.37
[C][C][=C][C][Branch1][C][C][=C][Branch1][C][C][C][=C][Ring1][Branch2][C],"1,2,4,5-Tetramethylbenzene",-3.664,1,134.22199999999998,0,1,0,0.0,-4.59
[N][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],o-Chloroaniline,-2.392,1,127.574,1,1,0,26.02,-1.52
[C][O][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1],3-Chloroanisole,-3.057,1,142.58499999999998,0,1,1,9.23,-2.78
[N][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],p-Aminophenol,-1.231,1,109.128,2,1,0,46.25,-0.8
[C][C][=Branch1][C][=O][N][C][=C][C][Branch1][P][N][S][=Branch1][C][=O][=Branch1][C][=O][C][Branch1][C][F][Branch1][C][F][F][=C][Branch1][C][C][C][=C][Ring1][#C][C],Mefluidide,-3.165,1,310.297,2,1,3,75.27000000000001,-3.24
[O][C][=C][C][=C][Branch1][Ring1][C][=O][C][=C][Ring1][Branch2],p-Hydroxybenzaldehyde ,-2.003,1,122.12299999999998,1,1,1,37.3,-0.96
[C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][=C][C][Branch1][Branch2][O][C][=Branch1][C][=O][N][C][=C][Ring2][Ring1][Ring1],butacarb,-4.642,1,263.381,1,1,1,38.33,-4.24
[F][C][=C][C][=C][C][=C][Ring1][=Branch1][Br],o-Fluorobromobenzene,-3.467,1,175.0,0,1,0,0.0,-2.7
[O][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1][Cl],"2,4-Dichlorophenol ",-3.22,1,163.003,1,1,0,20.23,-1.55
[C][C][=C][C][=C][Branch1][C][C][C][=C][Ring1][#Branch1],p-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.77
[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][C],"1,2-Diethylbenzene",-3.6010000000000004,1,134.22199999999998,0,1,2,0.0,-3.28
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N],o-Toluidine,-1.922,1,107.156,1,1,0,26.02,-2.21
[C][Branch1][Ring1][O][C][=C][C][=C][Branch1][Ring2][C][C][=C][C][=C][Ring1][O],Estragole,-3.074,1,148.205,0,1,3,9.23,-2.92
[Cl][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],"1,2-Dichlorobenzene",-3.482,1,147.00399999999996,0,1,0,0.0,-3.05
[C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],Butylbenzene,-3.585,1,134.22199999999998,0,1,3,0.0,-4.06
[C][Branch1][Ring1][C][#N][=C][Branch1][C][Cl][C][Branch1][Ring1][C][#N][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Branch1][C][Cl][Ring1][=N],Chlorothalonil,-3.995,1,265.914,0,1,0,47.58,-5.64
[N][#C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][#N],Phthalonitrile,-1.717,1,128.13399999999996,0,1,0,47.58,-2.38
[C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],Isopropylbenzene ,-3.265,1,120.19499999999996,0,1,1,0.0,-3.27
[C][O][P][=Branch1][C][=O][Branch1][Ring1][O][C][O][C][=Branch1][Ring1][=C][Cl][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][Cl],Stirofos,-4.32,1,365.96400000000006,0,1,5,44.760000000000005,-4.522
[O][C][=C][Branch1][C][I][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][=Branch2][I],Ioxynil,-4.615,1,370.915,1,1,0,44.02,-3.61
[C][=C][C][=C][C][=C][Ring1][=Branch1][O],Phenol,-1.991,1,94.113,1,1,0,20.23,0.0
[C][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][S][C][C][=Branch1][C][=O][N][Branch1][=Branch1][C][Branch1][C][C][C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],Anilofos,-5.106,1,367.86,0,1,7,38.77,-4.432
[C][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],Hexylbenzene ,-4.22,1,162.276,0,1,5,0.0,-5.21
[O][C][=C][C][Branch1][C][Cl][=C][C][Branch1][C][Cl][=C][Ring1][Branch2][Cl],"2,3,5-Trichlorophenol",-3.78,1,197.448,1,1,0,20.23,-2.67
[N][C][=C][C][=C][C][=C][Ring1][=Branch1],Aniline ,-1.632,1,93.129,1,1,0,26.02,-0.41
[Cl][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][=Branch2][Cl],Pentachlorobenzene,-5.167999999999999,1,250.339,0,1,0,0.0,-5.65
[Br][C][=C][C][Branch1][C][Br][=C][C][Branch1][C][Br][=C][Ring1][Branch2],"1,3,5-Tribromobenzene",-5.27,1,314.802,0,1,0,0.0,-5.6
[C][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][=C][C][Branch1][C][Cl][=C][Branch1][C][Cl][C][=C][Ring1][Branch2][Cl],Ronnel,-5.247000000000001,1,321.549,0,1,4,27.69,-5.72
[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][C][O][C][=C][Ring1][#Branch1],p-t-Butylphenol,-3.192,1,150.22099999999998,1,1,0,20.23,-2.41
[C][O][C][=C][C][Branch1][Ring2][C][C][=C][=C][C][=C][Ring1][=Branch2][O],Eugenol,-2.675,1,164.204,1,1,3,29.46,-1.56
[Cl][C][=C][C][=C][C][Branch1][C][I][=C][Ring1][#Branch1],m-Chloroiodobenzene,-4.384,1,238.455,0,1,0,0.0,-3.55
[C][C][=C][C][=C][C][Branch1][C][C][=C][Ring1][#Branch1],m-Xylene ,-3.035,1,106.168,0,1,0,0.0,-2.82
[O][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1],"1,3-Benzenediol",-1.59,1,110.11199999999998,2,1,0,40.46,0.81
[F][C][=C][C][=C][C][Branch1][C][Br][=C][Ring1][#Branch1],m-Fluorobromobenzene,-3.467,1,175.0,0,1,0,0.0,-2.67
[Cl][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1],p-Chlorobromobenzene,-3.928,1,191.455,0,1,0,0.0,-3.63
[C][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][=C][C][Branch1][C][Cl][=C][Branch1][C][I][C][=C][Ring1][Branch2][Cl],Iodofenphos,-6.148,1,413.0,0,1,4,27.69,-6.62
[C][C][=C][C][=C][Branch1][C][Cl][C][=C][Ring1][#Branch1],4-Chlorotoluene,-3.297,1,126.586,0,1,0,0.0,-3.08
[C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][N][C][=C][Ring1][#Branch1],Butamben,-3.039,1,193.246,1,1,4,52.32,-3.082
[Cl][C][=C][C][=C][Branch1][C][Cl][C][Branch1][C][Cl][=C][Ring1][Branch2][Cl],"1,2,3,4-Tetrachlorobenzene",-4.546,1,215.894,0,1,0,0.0,-4.57
