selfies,freesolv
[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-5.91
[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl][Cl],-1.12
[C][=C][C][=C][Branch1][=Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=O][O],-4.68
[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],-3.45
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],-5.49
[C][C][Branch1][C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.44
[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][I],-6.2
[C][O][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C],-6.96
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F],-0.25
[C][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][O],-6.01
[C][=C][C][=C][Branch1][#C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][F][Branch1][C][F][F],1.07
[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-9.51
[C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.23
[C][C@@H1][Branch1][P][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][Branch1][C][C][C][C][=Branch1][C][=O][O],-7.0
[C][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][C][O],-6.5
[C][C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][Cl][O],-6.79
[C][C][=Branch1][C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.24
[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O],-7.66
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Br],-1.46
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][O],-6.62
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],-3.58
[C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],-7.48
[C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],0.16
[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][Cl],-4.55
[C][C][O][P][=Branch1][C][=O][Branch1][Ring2][O][C][C][O][/C][=Branch1][Ring1][=C][/Cl][/C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl],-7.07
[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][F],-5.29
[C][=C][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.24
[C][N][Branch1][#Branch2][C][C][Branch1][C][F][Branch1][C][F][F][C][=C][C][=C][C][=C][Ring1][=Branch1],-1.92
[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C],-0.83
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C],-0.9
[C][O][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][Branch1][Ring1][O][C][O][C],-4.04
[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],-3.64
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-6.13
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Br],-2.38
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O],-5.94
[C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][#N],-9.65
[C][=C][C][=C][Branch1][N][C][=Branch1][Ring2][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][O],-4.58
[C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.53
[C][=Branch2][Ring1][Branch1][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][Cl],-2.33
[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][Cl],-7.03
[C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][=Branch1][C][=O][O],-8.83
[C][O][C][=C][Branch1][#C][C][=C][Branch1][#Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C][Cl][Cl],-6.44
[C][S][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.73
[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],-5.66
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Branch1][C][C][C],-0.68
[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl],-1.36
[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.79
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=O],-4.02
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][C],-4.7
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],-1.14
[C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.4
[C][N][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-3.45
[C][N][C][=C][C][=C][C][=C][Ring1][=Branch1],-4.69
[C][=C][C][=C][C][=C][Ring1][=Branch1],-0.9
[C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl][Cl],-1.24
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][S][C][S][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],-6.5
[C][C][C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-8.72
[C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-6.13
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C][=O],-3.82
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][F],-0.8
[C][C][=Branch1][C][=O][O][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],-9.94
[C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][=O],-9.52
[C][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][C],-5.26
[C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O],-5.49
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N],-5.57
[C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl],-0.98
[C][C][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.3
[C][O][C][=C][Branch2][Ring1][Ring1][C][=Branch1][=C][=C][Branch1][#Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][C][=O][Cl][O][C][O],-8.68
[C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],-6.88
[C][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][C][C],-1.21
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][Cl],-1.93
[C][C][=C][C][=C][Branch1][=Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O],-5.8
[C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.9
[C][C][O][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-9.2
[C][C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-5.21
[C][O][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N],-7.29
[C][C][C][=C][C][=C][C][=Branch1][S][=C][Ring1][=Branch1][N][Branch1][Ring2][C][O][C][C][=Branch1][C][=O][C][Cl][C][C],-8.21
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][I],-1.74
[C][C][C][C][=C][C][=C][Branch1][=Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][O],-5.26
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Br],-1.39
[C][=C][C][=Branch1][Branch2][=C][C][=C][Ring1][=Branch1][C][#N][O],-10.17
[C][C][C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O],-6.25
[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][Br][Br],-2.3
[C][O][C][=C][Branch1][#C][C][=C][C][=Branch1][=Branch2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][Cl][Cl],-9.86
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][O][C],-5.33
[C][=C][C][=Branch1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][O][Cl][Cl],-7.29
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.45
[C][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C],-5.91
[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][Cl][Cl],-1.01
[C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],-1.34
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][Cl],-1.12
[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][N+1][=Branch1][C][=O][O-1],-7.37
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],-4.12
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][N],-5.53
[C][C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C],-0.95
[C][C][C][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.04
[C][O][C][=C][C][=Branch1][=C][=C][Branch1][#Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][C][Cl][C][=O],-7.78
[C][=C][C][=Branch1][S][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][Branch1][C][F][Branch1][C][F][F][C][Branch1][C][F][Branch1][C][F][F],1.07
[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][O][F],-6.19
[C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][N][Cl],-4.91
[C][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C],-0.86
[C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C],-0.85
[C][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][C][O],-6.16
[C][O][P][=Branch1][C][=S][Branch1][Ring1][O][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],-7.19
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],-6.74
[C][C][N][Branch1][Ring1][C][C][C][=C][Branch2][Ring1][=Branch2][C][=C][Branch1][=N][C][=Branch1][=Branch2][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][N][C][Branch1][C][F][Branch1][C][F][F][N+1][=Branch1][C][=O][O-1],-5.66
[C][C][C][N][Branch1][Ring2][C][C][C][C][=C][Branch2][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][S][=Branch1][C][=O][=Branch1][C][=O][C][N+1][=Branch1][C][=O][O-1],-7.98
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][Branch1][C][C][C],-9.76
[C][O][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1],-3.92
[C][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=O],-4.27
[C][C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C],-0.9
[C][=C][C][=Branch1][=N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][#N][Cl],-4.71
[C][=C][Branch1][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],-1.34
[C][C][O][C][Branch1][Ring2][O][C][C][O][C][=C][C][=C][C][=C][Ring1][=Branch1],-5.23
[C][=C][C][=Branch1][=Branch2][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][N+1][=Branch1][C][=O][O-1],-9.62
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][C][O],-6.79
[C][N][Branch1][C][C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1],-9.13
[C][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][N][C],-5.21
[C][=C][C][=Branch1][=N][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][N],-8.84
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N],-6.12
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O],-6.6
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][O],-5.9
[C][=C][C][=Branch1][O][=C][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][O],-10.64
[C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][N][Cl],-5.9
[C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=O],-3.93
[C][N][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1],-11.95
[C][C][C][N][Branch1][Ring2][C][C][C][C][=C][Branch2][Ring1][=Branch1][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][C][Branch1][C][F][Branch1][C][F][F][N+1][=Branch1][C][=O][O-1],-3.25
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][O][C@@H1][Branch1][=Branch1][C][Branch1][C][F][F][F],-1.29
[C][C][C@H1][Branch1][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1],-0.45
[C][C][O][P][=Branch1][C][=S][Branch1][Ring2][O][C][C][O][C][=C][Branch1][=N][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=N][Ring1][=Branch1][Cl][Cl][Cl],-5.04
[C][C][C][=C][C][=C][C][=N][Ring1][=Branch1],-4.33
[C][C][=Branch1][C][=O][C][=C][C][=C][N][=C][Ring1][=Branch1],-8.26
[C][C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C],-4.86
[C][=C][C][=N][C][=C][Ring1][=Branch1],-4.69
[C][C][C][=C][C][=C][N][=C][Ring1][=Branch1],-4.59
[C][C][=C][C][=N][C][=C][Ring1][=Branch1][C],-5.22
[C][C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][C],-4.84
[C][=C][C][=N][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl],-4.39
[C][C][=C][C][=C][C][=Branch1][Ring2][=N][Ring1][=Branch1][C],-4.59
[C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][C][=O],-7.1
[C][C][=C][C][=C][C][=N][Ring1][=Branch1],-4.63
[C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][C][#N],-6.75
[C][=C][N][=C][C][=C][Ring1][=Branch1][C][=O],-7.0
[C][=C][C][=Branch1][=Branch1][=C][N][=C][Ring1][=Branch1][Cl],-4.01
[C][C][=C][C][=C][N][=C][Ring1][=Branch1][C],-4.82
[C][=C][N][=C][C][=C][Ring1][=Branch1][C][#N],-6.02
[C][C][=Branch1][C][=O][C][=C][C][=N][C][=C][Ring1][=Branch1],-7.62
[C][C][C][=C][C][=N][C][=C][Ring1][=Branch1],-4.73
[C][C][=C][C][=N][C][=C][Ring1][=Branch1],-4.93
[C][C][=C][C][=C][N][=C][Ring1][=Branch1],-4.77
[C][C][=C][C][=C][Branch1][Branch1][N][=C][Ring1][=Branch1][C],-4.72
[C][=C][C][=Branch2][Ring1][N][=C][Branch2][Ring1][#Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][Cl],-3.04
[C][=C][C][=Branch2][Ring1][S][=C][Branch2][Ring1][O][C][=Branch2][Ring1][=Branch1][=C][Ring1][=Branch1][C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][Cl][Cl],-4.4
[C][=C][C][=Branch2][Ring1][#Branch1][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][=C][Branch1][Branch2][C][=C][C][=C][Ring1][=Branch1][Cl][Cl][Cl],-2.28
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][#Branch1][=C][C][=C][Ring1][=Branch1][Cl][Cl],-2.46
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],-3.48
[C][=C][C][=Branch2][Ring1][#Branch2][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][C][=C][C][=Branch1][N][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],-3.61
[C][=C][C][=Branch2][Ring1][=Branch2][=C][Branch1][P][C][=C][Ring1][=Branch1][C][=C][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][F][F][C][=Branch1][C][=O][O][O],-9.4
[C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],-4.61
[C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][C][=C][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],-3.17
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl],-2.69
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][C][=C][C][=C][Ring1][=Branch1],-2.7
[C][=C][C][=Branch2][Ring1][N][=C][Branch2][Ring1][#Branch1][C][=C][Ring1][=Branch1][C][=C][Branch1][=C][C][=Branch1][#Branch2][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][Cl],-4.38
[C][=Branch2][Ring1][Branch1][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl][C][=C][Branch1][P][C][=Branch1][=N][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl][Cl],-2.98
[C][=C][C][=Branch2][Ring1][#Branch2][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][Cl][C][=C][Branch1][O][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl][Cl][Cl],-1.96
[C][C@@H1][Branch2][Ring1][=Branch1][C][=C][C][=C][Branch1][Branch2][C][=Branch1][Ring2][=C][Ring1][=Branch1][F][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][O],-8.42
[C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=C][Branch1][O][C][=C][Branch1][=Branch1][C][=C][Ring1][=Branch1][Cl][Cl][Cl],-2.16
[C][C][=C][N][=C][C][=N][Ring1][=Branch1],-5.51
[C][C][C][=C][N][=C][C][=N][Ring1][=Branch1],-5.45
[C][C][Branch1][C][C][C][C][=C][N][=C][C][=N][Ring1][=Branch1],-5.04
